Date,Open,High,Low,Close,Adj Close,Volume
2018-10-02,"26,648.91","26,824.78","26,627.66","26,773.94","26,773.94","258,290,000"
2018-10-03,"26,833.47","26,951.81","26,789.08","26,828.39","26,828.39","280,130,000"
2018-10-04,"26,784.08","26,793.82","26,471.61","26,627.48","26,627.48","289,600,000"
2018-10-05,"26,632.77","26,676.16","26,301.81","26,447.05","26,447.05","267,100,000"
2018-10-08,"26,399.45","26,529.35","26,223.09","26,486.78","26,486.78","273,020,000"
2018-10-09,"26,469.19","26,539.94","26,324.16","26,430.57","26,430.57","282,560,000"
2018-10-10,"26,441.73","26,487.87","25,567.10","25,598.74","25,598.74","438,200,000"
2018-10-11,"25,518.39","25,683.64","24,899.77","25,052.83","25,052.83","522,880,000"
2018-10-12,"25,407.63","25,467.55","25,000.83","25,339.99","25,339.99","397,510,000"
2018-10-15,"25,332.46","25,482.42","25,243.88","25,250.55","25,250.55","287,320,000"
2018-10-16,"25,351.53","25,817.68","25,351.53","25,798.42","25,798.42","305,800,000"
2018-10-17,"25,705.87","25,810.09","25,479.16","25,706.68","25,706.68","298,210,000"
2018-10-18,"25,645.56","25,691.46","25,236.01","25,379.45","25,379.45","328,020,000"
2018-10-19,"25,421.09","25,608.71","25,350.02","25,444.34","25,444.34","350,810,000"
2018-10-22,"25,492.14","25,561.34","25,236.05","25,317.41","25,317.41","314,940,000"
2018-10-23,"25,038.46","25,307.70","24,768.79","25,191.43","25,191.43","436,430,000"
2018-10-24,"25,172.88","25,306.23","24,533.19","24,583.42","24,583.42","496,400,000"
2018-10-25,"24,736.54","25,104.29","24,645.56","24,984.55","24,984.55","439,670,000"
2018-10-26,"24,770.25","24,916.16","24,445.19","24,688.31","24,688.31","505,310,000"
2018-10-29,"24,818.98","25,040.58","24,122.23","24,442.92","24,442.92","443,850,000"
2018-10-30,"24,482.04","24,906.68","24,415.69","24,874.64","24,874.64","470,050,000"
2018-10-31,"25,008.82","25,336.55","25,008.82","25,115.76","25,115.76","448,930,000"
2018-11-01,"25,142.08","25,396.47","25,108.11","25,380.74","25,380.74","383,970,000"
2018-11-02,"25,443.60","25,578.98","25,078.72","25,270.83","25,270.83","429,480,000"
2018-11-05,"25,261.47","25,507.35","25,261.47","25,461.70","25,461.70","334,740,000"
2018-11-06,"25,452.83","25,651.86","25,444.90","25,635.01","25,635.01","265,450,000"
2018-11-07,"25,788.46","26,200.14","25,765.88","26,180.30","26,180.30","361,780,000"
2018-11-08,"26,139.59","26,277.82","26,081.90","26,191.22","26,191.22","295,650,000"
2018-11-09,"26,149.11","26,161.49","25,882.91","25,989.30","25,989.30","324,450,000"
2018-11-12,"25,959.33","25,966.71","25,340.51","25,387.18","25,387.18","346,910,000"
2018-11-13,"25,321.21","25,511.03","25,193.78","25,286.49","25,286.49","339,690,000"
2018-11-14,"25,388.08","25,501.29","24,935.82","25,080.50","25,080.50","384,240,000"
2018-11-15,"25,061.48","25,354.56","24,787.79","25,289.27","25,289.27","392,750,000"
2018-11-16,"25,242.35","25,510.23","25,147.80","25,413.22","25,413.22","354,460,000"
2018-11-19,"25,392.61","25,392.61","24,900.98","25,017.44","25,017.44","358,090,000"
2018-11-20,"24,618.68","24,707.26","24,368.98","24,465.64","24,465.64","445,920,000"
2018-11-21,"24,541.65","24,669.79","24,463.28","24,464.69","24,464.69","289,370,000"
2018-11-23,"24,336.40","24,408.80","24,268.74","24,285.95","24,285.95","155,940,000"
2018-11-26,"24,364.13","24,673.29","24,364.13","24,640.24","24,640.24","306,280,000"
2018-11-27,"24,557.02","24,750.73","24,416.03","24,748.73","24,748.73","308,250,000"
2018-11-28,"24,832.84","25,368.93","24,832.84","25,366.43","25,366.43","362,160,000"
2018-11-29,"25,343.65","25,479.04","25,202.79","25,338.84","25,338.84","305,110,000"
